Participant #,User ID,Normal Link,Debug Link,Position,Cluster,Problems,Comparison Type,V1 Metric,V2 Metric
2,U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7&debugKey=xR9mK2nP7qL4wZ8v,2,cluster_7,cc_python_16 + cc_python_25 + cc_python_19,mi_vs_tokens,mi,tokens
2,U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7&debugKey=xR9mK2nP7qL4wZ8v,3,cluster_0,cc_python_29 + cc_python_19 + cc_python_13,mi_vs_tokens,mi,tokens
2,U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7&debugKey=xR9mK2nP7qL4wZ8v,4,cluster_3,cc_python_6 + cc_python_21 + cc_python_9,mi_vs_tokens,mi,tokens
2,U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7&debugKey=xR9mK2nP7qL4wZ8v,5,cluster_5,cc_python_28 + cc_python_1 + cc_python_19,mi_vs_tokens,mi,tokens
2,U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7&debugKey=xR9mK2nP7qL4wZ8v,6,cluster_9,cc_python_8 + cc_python_10 + cc_python_20,logprob_vs_tokens,logprob,tokens
2,U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7&debugKey=xR9mK2nP7qL4wZ8v,7,cluster_1,cc_python_2 + cc_python_27 + cc_python_5,mi_vs_tokens,mi,tokens
2,U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7&debugKey=xR9mK2nP7qL4wZ8v,8,cluster_2,cc_python_5 + cc_python_26 + cc_python_22,logprob_vs_tokens,logprob,tokens
2,U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7&debugKey=xR9mK2nP7qL4wZ8v,9,cluster_6,cc_python_19 + cc_python_14 + cc_python_7,mi_vs_tokens,mi,tokens
2,U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7&debugKey=xR9mK2nP7qL4wZ8v,10,cluster_8,cc_python_28 + cc_python_3 + cc_python_29,logprob_vs_tokens,logprob,tokens
3,U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C&debugKey=xR9mK2nP7qL4wZ8v,1,cluster_6,cc_python_12 + cc_python_2 + cc_python_11,mi_vs_tokens,mi,tokens
3,U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C&debugKey=xR9mK2nP7qL4wZ8v,2,cluster_1,cc_python_2 + cc_python_27 + cc_python_5,mi_vs_logprob,mi,logprob
3,U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C&debugKey=xR9mK2nP7qL4wZ8v,3,cluster_3,cc_python_16 + cc_python_19 + cc_python_23,mi_vs_logprob,mi,logprob
3,U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C&debugKey=xR9mK2nP7qL4wZ8v,4,cluster_7,cc_python_11 + cc_python_10 + cc_python_27,mi_vs_logprob,mi,logprob
3,U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C&debugKey=xR9mK2nP7qL4wZ8v,5,cluster_2,cc_python_5 + cc_python_26 + cc_python_22,mi_vs_tokens,mi,tokens
3,U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C&debugKey=xR9mK2nP7qL4wZ8v,6,cluster_9,cc_python_17 + cc_python_16 + cc_python_19,mi_vs_tokens,mi,tokens
3,U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C&debugKey=xR9mK2nP7qL4wZ8v,7,cluster_5,cc_python_5 + cc_python_29 + cc_python_7,mi_vs_tokens,mi,tokens
3,U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C&debugKey=xR9mK2nP7qL4wZ8v,8,cluster_0,cc_python_29 + cc_python_19 + cc_python_13,mi_vs_tokens,mi,tokens
3,U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C&debugKey=xR9mK2nP7qL4wZ8v,9,cluster_8,cc_python_24 + cc_python_15 + cc_python_10,logprob_vs_tokens,logprob,tokens
3,U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C,https://zzigak.github.io/refactor_study/?id=U145EDD83C&debugKey=xR9mK2nP7qL4wZ8v,10,cluster_4,cc_python_8 + cc_python_9 + cc_python_3,mi_vs_tokens,mi,tokens
4,U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5&debugKey=xR9mK2nP7qL4wZ8v,1,cluster_1,cc_python_2 + cc_python_27 + cc_python_5,mi_vs_tokens,mi,tokens
4,U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5&debugKey=xR9mK2nP7qL4wZ8v,2,cluster_8,cc_python_28 + cc_python_3 + cc_python_29,mi_vs_logprob,mi,logprob
4,U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5&debugKey=xR9mK2nP7qL4wZ8v,3,cluster_6,cc_python_12 + cc_python_2 + cc_python_11,logprob_vs_tokens,logprob,tokens
4,U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5&debugKey=xR9mK2nP7qL4wZ8v,4,cluster_2,cc_python_5 + cc_python_26 + cc_python_22,logprob_vs_tokens,logprob,tokens
4,U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5&debugKey=xR9mK2nP7qL4wZ8v,5,cluster_3,cc_python_16 + cc_python_19 + cc_python_23,logprob_vs_tokens,logprob,tokens
4,U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5&debugKey=xR9mK2nP7qL4wZ8v,6,cluster_5,cc_python_5 + cc_python_29 + cc_python_7,logprob_vs_tokens,logprob,tokens
4,U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5&debugKey=xR9mK2nP7qL4wZ8v,7,cluster_9,cc_python_17 + cc_python_16 + cc_python_19,logprob_vs_tokens,logprob,tokens
4,U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5&debugKey=xR9mK2nP7qL4wZ8v,8,cluster_0,cc_python_29 + cc_python_19 + cc_python_13,logprob_vs_tokens,logprob,tokens
4,U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5&debugKey=xR9mK2nP7qL4wZ8v,9,cluster_4,cc_python_8 + cc_python_9 + cc_python_3,logprob_vs_tokens,logprob,tokens
4,U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5,https://zzigak.github.io/refactor_study/?id=U22C5DF4D5&debugKey=xR9mK2nP7qL4wZ8v,10,cluster_7,cc_python_11 + cc_python_10 + cc_python_27,mi_vs_tokens,mi,tokens
5,U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9&debugKey=xR9mK2nP7qL4wZ8v,1,cluster_4,cc_python_28 + cc_python_4 + cc_python_11,mi_vs_tokens,mi,tokens
5,U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9&debugKey=xR9mK2nP7qL4wZ8v,2,cluster_3,cc_python_7 + cc_python_29 + cc_python_0,mi_vs_logprob,mi,logprob
5,U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9&debugKey=xR9mK2nP7qL4wZ8v,3,cluster_5,cc_python_28 + cc_python_1 + cc_python_19,mi_vs_tokens,mi,tokens
5,U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9&debugKey=xR9mK2nP7qL4wZ8v,4,cluster_0,cc_python_29 + cc_python_19 + cc_python_13,mi_vs_tokens,mi,tokens
5,U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9&debugKey=xR9mK2nP7qL4wZ8v,5,cluster_6,cc_python_19 + cc_python_14 + cc_python_7,mi_vs_logprob,mi,logprob
5,U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9&debugKey=xR9mK2nP7qL4wZ8v,6,cluster_9,cc_python_17 + cc_python_16 + cc_python_19,logprob_vs_tokens,logprob,tokens
5,U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9&debugKey=xR9mK2nP7qL4wZ8v,7,cluster_1,cc_python_2 + cc_python_27 + cc_python_5,mi_vs_tokens,mi,tokens
5,U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9&debugKey=xR9mK2nP7qL4wZ8v,8,cluster_2,cc_python_5 + cc_python_26 + cc_python_22,logprob_vs_tokens,logprob,tokens
5,U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9&debugKey=xR9mK2nP7qL4wZ8v,9,cluster_7,cc_python_11 + cc_python_10 + cc_python_27,mi_vs_tokens,mi,tokens
5,U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9,https://zzigak.github.io/refactor_study/?id=U4818F5BA9&debugKey=xR9mK2nP7qL4wZ8v,10,cluster_8,cc_python_28 + cc_python_3 + cc_python_29,mi_vs_tokens,mi,tokens
6,U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB&debugKey=xR9mK2nP7qL4wZ8v,1,cluster_4,cc_python_8 + cc_python_9 + cc_python_3,logprob_vs_tokens,logprob,tokens
6,U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB&debugKey=xR9mK2nP7qL4wZ8v,2,cluster_8,cc_python_24 + cc_python_15 + cc_python_10,mi_vs_logprob,mi,logprob
6,U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB&debugKey=xR9mK2nP7qL4wZ8v,3,cluster_2,cc_python_5 + cc_python_26 + cc_python_22,logprob_vs_tokens,logprob,tokens
6,U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB&debugKey=xR9mK2nP7qL4wZ8v,4,cluster_3,cc_python_7 + cc_python_29 + cc_python_0,mi_vs_logprob,mi,logprob
6,U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB&debugKey=xR9mK2nP7qL4wZ8v,5,cluster_6,cc_python_12 + cc_python_2 + cc_python_11,mi_vs_logprob,mi,logprob
6,U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB&debugKey=xR9mK2nP7qL4wZ8v,6,cluster_5,cc_python_5 + cc_python_29 + cc_python_7,logprob_vs_tokens,logprob,tokens
6,U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB&debugKey=xR9mK2nP7qL4wZ8v,7,cluster_7,cc_python_11 + cc_python_10 + cc_python_27,mi_vs_tokens,mi,tokens
6,U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB&debugKey=xR9mK2nP7qL4wZ8v,8,cluster_9,cc_python_17 + cc_python_16 + cc_python_19,logprob_vs_tokens,logprob,tokens
6,U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB&debugKey=xR9mK2nP7qL4wZ8v,9,cluster_0,cc_python_29 + cc_python_19 + cc_python_13,logprob_vs_tokens,logprob,tokens
6,U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB,https://zzigak.github.io/refactor_study/?id=U5C5CD84FB&debugKey=xR9mK2nP7qL4wZ8v,10,cluster_1,cc_python_2 + cc_python_27 + cc_python_5,mi_vs_tokens,mi,tokens
7,U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E&debugKey=xR9mK2nP7qL4wZ8v,1,cluster_5,cc_python_28 + cc_python_1 + cc_python_19,mi_vs_logprob,mi,logprob
7,U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E&debugKey=xR9mK2nP7qL4wZ8v,2,cluster_7,cc_python_16 + cc_python_25 + cc_python_19,mi_vs_logprob,mi,logprob
7,U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E&debugKey=xR9mK2nP7qL4wZ8v,3,cluster_3,cc_python_6 + cc_python_21 + cc_python_9,mi_vs_logprob,mi,logprob
7,U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E&debugKey=xR9mK2nP7qL4wZ8v,4,cluster_1,cc_python_2 + cc_python_27 + cc_python_5,mi_vs_logprob,mi,logprob
7,U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E&debugKey=xR9mK2nP7qL4wZ8v,5,cluster_4,cc_python_28 + cc_python_4 + cc_python_11,mi_vs_logprob,mi,logprob
7,U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E&debugKey=xR9mK2nP7qL4wZ8v,6,cluster_9,cc_python_8 + cc_python_10 + cc_python_20,mi_vs_logprob,mi,logprob
7,U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E&debugKey=xR9mK2nP7qL4wZ8v,7,cluster_6,cc_python_19 + cc_python_14 + cc_python_7,mi_vs_logprob,mi,logprob
7,U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E&debugKey=xR9mK2nP7qL4wZ8v,8,cluster_0,cc_python_29 + cc_python_19 + cc_python_13,mi_vs_logprob,mi,logprob
7,U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E&debugKey=xR9mK2nP7qL4wZ8v,9,cluster_8,cc_python_28 + cc_python_3 + cc_python_29,mi_vs_tokens,mi,tokens
7,U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E,https://zzigak.github.io/refactor_study/?id=U72F39FC2E&debugKey=xR9mK2nP7qL4wZ8v,10,cluster_2,cc_python_5 + cc_python_26 + cc_python_22,mi_vs_tokens,mi,tokens
8,U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16&debugKey=xR9mK2nP7qL4wZ8v,1,cluster_2,cc_python_5 + cc_python_26 + cc_python_22,mi_vs_tokens,mi,tokens
8,U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16&debugKey=xR9mK2nP7qL4wZ8v,2,cluster_4,cc_python_28 + cc_python_4 + cc_python_11,logprob_vs_tokens,logprob,tokens
8,U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16&debugKey=xR9mK2nP7qL4wZ8v,3,cluster_7,cc_python_16 + cc_python_25 + cc_python_19,mi_vs_logprob,mi,logprob
8,U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16&debugKey=xR9mK2nP7qL4wZ8v,4,cluster_1,cc_python_2 + cc_python_27 + cc_python_5,mi_vs_logprob,mi,logprob
8,U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16&debugKey=xR9mK2nP7qL4wZ8v,5,cluster_6,cc_python_12 + cc_python_2 + cc_python_11,logprob_vs_tokens,logprob,tokens
8,U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16&debugKey=xR9mK2nP7qL4wZ8v,6,cluster_0,cc_python_29 + cc_python_19 + cc_python_13,logprob_vs_tokens,logprob,tokens
8,U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16&debugKey=xR9mK2nP7qL4wZ8v,7,cluster_8,cc_python_28 + cc_python_3 + cc_python_29,mi_vs_logprob,mi,logprob
8,U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16&debugKey=xR9mK2nP7qL4wZ8v,8,cluster_3,cc_python_6 + cc_python_21 + cc_python_9,mi_vs_logprob,mi,logprob
8,U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16&debugKey=xR9mK2nP7qL4wZ8v,9,cluster_5,cc_python_28 + cc_python_1 + cc_python_19,logprob_vs_tokens,logprob,tokens
8,U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16,https://zzigak.github.io/refactor_study/?id=U7750A2E16&debugKey=xR9mK2nP7qL4wZ8v,10,cluster_9,cc_python_8 + cc_python_10 + cc_python_20,mi_vs_logprob,mi,logprob
9,U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497&debugKey=xR9mK2nP7qL4wZ8v,1,cluster_4,cc_python_8 + cc_python_9 + cc_python_3,mi_vs_tokens,mi,tokens
9,U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497&debugKey=xR9mK2nP7qL4wZ8v,2,cluster_8,cc_python_28 + cc_python_3 + cc_python_29,mi_vs_tokens,mi,tokens
9,U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497&debugKey=xR9mK2nP7qL4wZ8v,3,cluster_2,cc_python_5 + cc_python_26 + cc_python_22,mi_vs_tokens,mi,tokens
9,U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497&debugKey=xR9mK2nP7qL4wZ8v,4,cluster_9,cc_python_17 + cc_python_16 + cc_python_19,mi_vs_tokens,mi,tokens
9,U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497&debugKey=xR9mK2nP7qL4wZ8v,5,cluster_5,cc_python_5 + cc_python_29 + cc_python_7,mi_vs_tokens,mi,tokens
9,U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497&debugKey=xR9mK2nP7qL4wZ8v,6,cluster_3,cc_python_6 + cc_python_21 + cc_python_9,logprob_vs_tokens,logprob,tokens
9,U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497&debugKey=xR9mK2nP7qL4wZ8v,7,cluster_1,cc_python_2 + cc_python_27 + cc_python_5,mi_vs_logprob,mi,logprob
9,U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497&debugKey=xR9mK2nP7qL4wZ8v,8,cluster_0,cc_python_29 + cc_python_19 + cc_python_13,mi_vs_tokens,mi,tokens
9,U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497&debugKey=xR9mK2nP7qL4wZ8v,9,cluster_6,cc_python_19 + cc_python_14 + cc_python_7,mi_vs_logprob,mi,logprob
9,U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497,https://zzigak.github.io/refactor_study/?id=U7D1383497&debugKey=xR9mK2nP7qL4wZ8v,10,cluster_7,cc_python_11 + cc_python_10 + cc_python_27,mi_vs_logprob,mi,logprob
10,U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D&debugKey=xR9mK2nP7qL4wZ8v,1,cluster_6,cc_python_12 + cc_python_2 + cc_python_11,mi_vs_tokens,mi,tokens
10,U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D&debugKey=xR9mK2nP7qL4wZ8v,2,cluster_9,cc_python_8 + cc_python_10 + cc_python_20,mi_vs_logprob,mi,logprob
10,U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D&debugKey=xR9mK2nP7qL4wZ8v,3,cluster_0,cc_python_29 + cc_python_19 + cc_python_13,mi_vs_logprob,mi,logprob
10,U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D&debugKey=xR9mK2nP7qL4wZ8v,4,cluster_8,cc_python_24 + cc_python_15 + cc_python_10,logprob_vs_tokens,logprob,tokens
10,U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D&debugKey=xR9mK2nP7qL4wZ8v,5,cluster_7,cc_python_16 + cc_python_25 + cc_python_19,mi_vs_logprob,mi,logprob
10,U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D&debugKey=xR9mK2nP7qL4wZ8v,6,cluster_3,cc_python_7 + cc_python_29 + cc_python_0,mi_vs_tokens,mi,tokens
10,U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D&debugKey=xR9mK2nP7qL4wZ8v,7,cluster_2,cc_python_5 + cc_python_26 + cc_python_22,mi_vs_tokens,mi,tokens
10,U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D,https://zzigak.github.io/refactor_study/?id=U8DA5CEE2D&debugKey=xR9mK2nP7qL4wZ8v,8,cluster_1,cc_python_2 + cc_python_27 + cc_python_5,mi_vs_logprob,mi,logprob
